"College","State","Type","Freshmen
Pell share","Pell change
since 2011","Total
undergraduates","Endowment
per student","Net price,
mid-income"
"Cedarville University","Ohio","Private","19%",2,4000,"$12,000","$19,700"
"Colorado College","Colo.","Private","19%",7,2000,"$421,000","$17,100"
"Emory University","Ga.","Private","19%",-4,7000,"$1,557,000","$15,500"
"Indiana University, Bloomington","Ind.","Public","19%",-2,33000,"$50,000","$11,500"
"Lehigh University","Pa.","Private","19%",3,5200,"$316,000","$22,100"
"Lewis & Clark College","Ore.","Private","19%",-1,1800,"$157,000","$28,300"
"Loyola University Maryland","Md.","Private","19%",5,3800,"$78,000","$24,700"
"Middlebury College","Vt.","Private","19%",9,2600,"$561,000","$13,100"
"Smith College","Mass.","Private","19%",-1,2200,"$1,103,000","$18,900"
"St. Louis University","Mo.","Private","19%",-2,7700,"$195,000","$24,100"
"University of Alabama","Ala.","Public","19%",-2,31700,"$41,000","$22,000"
"University of Pennsylvania","Pa.","Private","19%",3,11200,"$1,839,000","$3,300"
"University of Rochester","N.Y.","Private","19%",0,6500,"$404,000","$24,100"
"University of South Carolina","S.C.","Public","19%",-2,27300,"$27,000","$20,000"
"University of the South","Tenn.","Private","19%",3,1700,"$305,000","$16,700"
"Vassar College","N.Y.","Private","19%",-8,2500,"$568,000","$23,700"
"American University","D.C.","Private","18%",3,8000,"$110,000","$15,200"
"Barnard College","N.Y.","Private","18%",-4,2700,"$166,000","$21,000"
"College of New Jersey","N.J.","Public","18%",1,7100,"$8,000","$13,200"
"Cornell University","N.Y.","Private","18%",3,14700,"$626,000","$4,000"
"Hamilton College","N.Y.","Private","18%",1,1900,"$685,000","$14,800"
"New York University","N.Y.","Private","18%",-2,27400,"$191,000","$30,900"
"North Carolina State University","N.C.","Public","18%",-7,26200,"$79,000","$13,400"
"Occidental College","Calif.","Private","18%",-7,1800,"$302,000","$14,800"
"Princeton University","N.J.","Private","18%",7,4800,"$7,748,000","$7,000"
"Syracuse University","N.Y.","Private","18%",-7,14500,"$106,000","$21,400"
"University of Arkansas","Ark.","Public","18%",-6,22800,"$77,000","$14,400"
"University of Iowa","Iowa","Public","18%",1,22300,"$148,000","$18,300"
"University of Minnesota","Minn.","Public","18%",-5,36100,"$153,000","$11,600"
"University of Puget Sound","Wash.","Private","18%",-3,1900,"$241,000","$17,800"
"University of San Diego","Calif.","Private","18%",2,5500,"$127,000","$20,100"
"University of Washington","Wash.","Public","18%",-6,32200,"$146,000","$7,300"
"Ursinus College","Pa.","Private","18%",-12,1500,"$106,000","$25,800"
"Vanderbilt University","Tenn.","Private","18%",5,7100,"$1,536,000","$9,100"
"Wesleyan University","Conn.","Private","18%",2,2900,"$508,000","$10,300"
"Wofford College","S.C.","Private","18%",-7,1800,"$244,000","$23,200"
"Brandeis University","Mass.","Private","17%",-2,3500,"$318,000","$18,900"
"Bryn Mawr College","Pa.","Private","17%",-1,1300,"$886,000","$23,800"
"Carleton College","Minn.","Private","17%",4,1900,"$618,000","$14,800"
"Case Western Reserve University","Ohio","Private","17%",-4,5400,"$412,000","$21,000"
"Connecticut College","Conn.","Private","17%",4,1700,"$226,000","$20,300"
"Dartmouth College","N.H.","Private","17%",4,4200,"$1,969,000","$12,300"
"DePauw University","Ind.","Private","17%",-5,1800,"$444,000","$14,300"
"George Washington University","D.C.","Private","17%",4,11800,"$220,000","$18,900"
"Georgia College & State University","Ga.","Public","17%",-3,5600,"$12,000","$19,700"
"Hope College","Mich.","Private","17%",-5,3100,"$101,000","$21,600"
"Kettering University","Mich.","Private","17%",-17,1700,"$59,000","$32,200"
"Missouri University of Science and Technology","Mo.","Public","17%",-11,6100,"$50,000","$12,600"
"Ohio State University","Ohio","Public","17%",-3,47000,"$152,000","$14,600"
"Providence College","R.I.","Private","17%",1,4300,"$74,000","$25,200"
"Rice University","Texas","Private","17%",1,4100,"$1,941,000","$6,300"
"University of Delaware","Del.","Public","17%",4,19300,"$102,000","$16,900"
"University of North Dakota","N.D.","Public","17%",-6,9800,"$40,000","$15,900"
"University of Pittsburgh","Pa.","Public","17%",1,23200,"$278,000","$24,800"
"University of Richmond","Va.","Private","17%",3,3300,"$1,014,000","$13,400"
"University of Wisconsin, Madison","Wis.","Public","17%",2,32700,"$180,000","$9,800"
"University of Wyoming","Wyo.","Public","17%",-4,9300,"$94,000","$9,600"
"Baylor University","Texas","Private","16%",-8,14400,"$122,000","$30,400"
"Belmont University","Tenn.","Private","16%",-1,6600,"$58,000","$26,400"
"Bowdoin College","Maine","Private","16%",-1,1800,"$1,548,000","$10,300"
"Gonzaga University","Wash.","Private","16%",0,4900,"$82,000","$22,800"
"Haverford College","Pa.","Private","16%",0,1300,"$458,000","$14,600"
"Rhodes College","Tenn.","Private","16%",0,1800,"$215,000","$24,000"
"Taylor University","Ind.","Private","16%",-10,2100,"$61,000","$23,900"
"University of Denver","Colo.","Private","16%",-1,5700,"$184,000","$25,000"
"University of Georgia","Ga.","Public","16%",-6,29800,"$63,000","$15,800"
"University of Michigan","Mich.","Public","16%",1,31300,"$535,000","$12,400"
"Virginia Polytechnic Institute","Va.","Public","16%",1,30000,"$54,000","$18,100"
"Washington University in St. Louis","Mo.","Private","16%",10,7700,"$1,773,000","$9,200"
"Whitman College","Wash.","Private","16%",2,1400,"$608,000","$30,400"
"Bentley University","Mass.","Private","15%",-1,4100,"$89,000","$28,000"
"Butler University","Ind.","Private","15%",-6,4500,"$63,000","$35,300"
"Davidson College","N.C.","Private","15%",2,2000,"$661,000","$11,800"
"Endicott College","Mass.","Private","15%",-6,3100,"$40,000","$28,800"
"Quinnipiac University","Conn.","Private","15%",-1,6800,"$116,000","$31,900"
"Sarah Lawrence College","N.Y.","Private","15%",-3,1300,"$107,000","$21,800"
"Stonehill College","Mass.","Private","15%",1,2400,"$128,000","$24,100"
"Trinity College","Conn.","Private","15%",2,2200,"$376,000","$14,200"
"University of Maryland, College Park","Md.","Public","15%",0,30900,"$32,000","$17,300"
"University of Vermont","Vt.","Public","15%",-7,11100,"$67,000","$15,900"
"Brown University","R.I.","Private","14%",-3,6800,"$1,002,000","$8,400"
"California Polytechnic State University, San Luis Obispo","Calif.","Public","14%",0,21500,"$14,000","$17,800"
"Calvin University","Mich.","Private","14%",-15,3200,"$76,000","$21,800"
"Carnegie Mellon University","Pa.","Private","14%",1,6600,"$477,000","$22,800"
"Colby College","Maine","Private","14%",4,2200,"$508,000","$3,300"
"Denison University","Ohio","Private","14%",-5,2300,"$526,000","$20,300"
"Emerson College","Mass.","Private","14%",0,3700,"$65,000","$41,100"
"Georgetown University","D.C.","Private","14%",0,7400,"$355,000","$10,600"
"Miami University","Ohio","Public","14%",-4,16500,"$40,000","$22,700"
"Olin College of Engineering","Mass.","Private","14%",0,300,"$1,560,000","$8,300"
"Pitzer College","Calif.","Private","14%",0,900,"$211,000","$3,000"
"Purdue University","Ind.","Public","14%",-7,35700,"$101,000","$4,600"
"Texas Christian University","Texas","Private","14%",0,9700,"$207,000","$29,700"
"Union College","N.Y.","Private","14%",-3,2000,"$294,000","$20,700"
"University of Chicago","Ill.","Private","14%",-1,7100,"$1,361,000","$7,400"
"University of Colorado, Boulder","Colo.","Public","14%",-2,30300,"—","$18,300"
"University of Miami","Fla.","Private","14%",-8,11300,"$120,000","$19,100"
"Westmont College","Calif.","Private","14%",-9,1200,"$72,000","$26,500"
"Clemson University","S.C.","Public","13%",-4,20900,"$47,000","$20,800"
"Colgate University","N.Y.","Private","13%",2,3000,"$407,000","$15,300"
"College of the Holy Cross","Mass.","Private","13%",-7,3000,"$331,000","$14,600"
"Colorado School of Mines","Colo.","Public","13%",-6,5200,"$68,000","$16,800"
"Creighton University","Neb.","Private","13%",-8,4500,"$150,000","$27,200"
"Harvey Mudd College","Calif.","Private","13%",1,900,"$505,000","$18,600"
"Northeastern University","Mass.","Private","13%",0,15200,"$82,000","$16,900"
"Pennsylvania State University","Pa.","Public","13%",-3,40800,"$72,000","$29,200"
"University of Virginia","Va.","Public","13%",0,17300,"$598,000","$14,600"
"Boston College","Mass.","Private","12%",-4,9800,"$379,000","$12,800"
"Brigham Young University","Utah","Private","12%",-4,33400,"$78,000","$12,300"
"Duke University","N.C.","Private","12%",-1,6700,"$1,607,000","$10,300"
"Georgia Institute of Technology","Ga.","Public","12%",-5,16600,"$183,000","$14,800"
"Rose-Hulman Institute of Technology","Ind.","Private","12%",-9,2000,"$145,000","$30,000"
"Skidmore College","N.Y.","Private","12%",-5,2600,"$192,000","$17,200"
"University of Notre Dame","Ind.","Private","12%",0,8900,"$1,868,000","$14,600"
"Villanova University","Pa.","Private","12%",1,7000,"$144,000","$20,500"
"Auburn University","Ala.","Public","11%",-3,24500,"$41,000","$22,400"
"Furman University","S.C.","Private","11%",-5,2300,"$336,000","$20,500"
"Reed College","Ore.","Private","11%",-7,1400,"$553,000","$19,900"
"Tufts University","Mass.","Private","11%",1,6100,"$411,000","$15,100"
"William & Mary","Va.","Public","11%",1,6200,"$209,000","$10,700"
"Yeshiva University","N.Y.","Private","11%",-9,2800,"$197,000","$33,500"
"Bucknell University","Pa.","Private","10%",-1,3700,"$295,000","$24,400"
"California Institute of Technology","Calif.","Private","10%",1,900,"$4,597,000","$4,400"
"Kenyon College","Ohio","Private","10%",0,1600,"$294,000","$19,000"
"Lafayette College","Pa.","Private","10%",2,2500,"$408,000","$30,300"
"Loyola Marymount University","Calif.","Private","10%",-8,6700,"$98,000","$31,500"
"Wake Forest University","N.C.","Private","10%",-4,5400,"$339,000","$10,000"
"Washington and Lee University","Va.","Private","10%",-1,1800,"$1,216,000","$4,100"
"Worcester Polytechnic Institute","Mass.","Private","10%",-5,4900,"$126,000","$37,200"
"Elon University","N.C.","Private","9%",-1,6300,"$53,000","$30,600"
"Santa Clara University","Calif.","Private","9%",-7,5600,"$275,000","$27,500"
"Scripps College","Calif.","Private","9%",-6,900,"$570,000","$27,600"
"Southern Methodist University","Texas","Private","9%",-6,6800,"$291,000","$31,700"
"Bates College","Maine","Private","8%",-5,1900,"$248,000","$9,900"
"Fairfield University","Conn.","Private","8%",-12,4400,"$94,000","$30,700"
"Oberlin College","Ohio","Private","8%",-2,2600,"$438,000","$18,200"
"Tulane University","La.","Private","8%",-5,8500,"$225,000","$25,700"
